FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
FZZZZZZZKZZZZZHZZZZZZZZKKHHZZZZZZZZZZZZZZHZZZZKZZZZZZZF
FZZZZZZZKZZZZZHZZZZZZZZKKHHZZZZZZZZZZZZZZHZZZZKZZZZZZZF
FZZZZZHZZZZZZZZZZZKZZHZZZKZZZZZZZZZZZZKZZZZZZZZZZZZZZZF
FZZZZKZZZZZZZHZZZZZZZHZZZZKZHHKZZZZZZZZZZZZZZZHZZZZZZZF
FHHHZZZFFFFFFZZZZZZFFFFFFZZZZFFFFFFZZZZZZFFFFFFZZZZHHHF
FFFFFFFFhhhhhFFZZZFFhhhhhFFFFhhhhhhFFZZZFFhhhhhFFFFFFFF
fhhhhhhhwwwwwwFFFFzzzzzzzzzzzzzzzzzzFFFFwhhhhhwhhhhhhhf
fwhwwwwwwhhhwwfyyyyyyyyyyyyyyyyyyyyyyyyfwhhhhhwhhwhhhhf
fwwwwhhhhhwwwwfyyyyyyyyyyyyyyyyyyyyyyyyfwwhhhwwhhwwwhhf
fwwhhhhhhwwwwwfyyyyyyyyyyyyyyyyyyyyyyyyfwhhwwwhhwwhhhhf
fwhhhhhhhwwwwwffffffffffffffffffffffffffwhhhhwwwwhhhhhf
fwwwwwhhhhhhhwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwhhf
fhhhhhhhxxxxxxxxxxxhhhhhhhhhhhhhhhxxxxxxhhhhhhhhhhhxxhf
fhhhhhhxxyyffffyyyxxhhhhhhhhhhhhhhxxxxxxxxxhhhxxxhhxxxf
fhhhhxxxyyfyyyyfyyyxxxhhhhhhhhhhhhxxabxxhhxhhhxhhhhxhhf
fhhhxxzyyyfyyyyfyyyzzxxhhhhhhhhhhhxxcdxxhxxhxxxxhhhxhhf
fhhhhxxxyyfyyyyfyyxxxxhxxxxhhhhhhhxxxxxxhxhhxhhxhhhxhhf
fhhhxxzyyyfyyyyfyyyzzxxxhxxxhhxxxxxxhhhhhxxxxhhxxxxxhhf
fhhhxxzyyyyffffyyyyxxxhhhhhxxxxxhhhhhhhhhhhhhhhhhhhhhhf
fhhhhxxxyyyyyyyyyyxxhhhhhhhhhxhhhhhhhhhhhhhhhhhhhhhhhhf
fhhwwwxxxxxxxxxxxxxxhhhhhhhhxxxhhhhhhhhhhhhhhhhhhhhhhhf
fwwwhhhhhhhhhwwwwwwwwwwwwwwwwwwwwwwhhhhhhhhhhhhwwwwwhhf
fwhwwwwhhwwwhhhhhhhhhhwwwhhhhhhhhwwwwwhhhhhhhwwwwwwwhhf
fwhhhhhhhhhhhhhhhhwwwwwwwwwhhhhhhwwwwwwhhhhhhhhhhhhwhhf
fwwwwwwwwhhhhhhhhhhhhhhhhhwwwhhhhhwwwwwwwwwhhhhhhhhwhhf
fwwhhwwhhhhhhwwwwwwwwwwwwwwwwhhhhhhhhhhhwwwwwhhhhhhwhhf
fhwwwwhhhwwwwwhhhhhhhhhhhhhhhhhwwhwwwwwwwhhhwwwhhhwwwhf
fhhwwhhhhhwwhhhhhhhhhhhwwwwwwwwwwwwwhhhhhhhhhhwwwhhhwhf
fwwwhhhhhhhwhh6666hhhhhhwhhhhhhhhhwww6666hhhhhwwwwwwwhf
66666666wwwww6633366wwwww66666wwwww6633366wwwww66666666
6333333666666334333666666333336666663343336666663333336
6333433333333333333333433333333333333353333333343333336
6333333333533353333333443333333333343333333353333333336
6333353333333343333333334343333333333333333333343333336
6333333354533333333333433343335453333333333453335534336
6666666666666666666666666666666666666666666666666666666


player=26,18
xplayer=6,2
xplayer=6,34
figure = 37, 17, file/figure/biber2.txt
figure = 8, 25, file/figure/feind3.txt
figure = 51, 25, file/figure/feind4.txt
figure = 10, 20, file/figure/kam.txt
figure = 32, 30, file/figure/goku.txt
figure = 6, 8, file/figure/flash.txt
item = 50, 23, file/items/hammer.txt
item = 34, 17, file/items/tuerblau2.txt
item = 34, 16, file/items/tuerrosa2.txt
item = 8, 25, file/items/tuer2.txt
item = 5, 1, file/items/tele2.txt
item = 3, 35, file/items/tele2.txt
item = 5, 25, file/items/tele2.txt
item = 49, 23, file/items/tele2.txt


item = 11,15,file/items/teich1.txt
item = 12,15,file/items/teich2.txt
item = 13,15,file/items/teich3.txt
item = 14,15,file/items/teich4.txt
item = 11, 16, file/items/teich5.txt
item = 12, 16, file/items/teich6.txt
item = 13, 16, file/items/teich7.txt
item = 14, 16, file/items/teich8.txt
item = 11, 17, file/items/teich9.txt
item = 12, 17, file/items/teich10.txt
item = 13, 17, file/items/teich11.txt
item = 14, 17, file/items/teich12.txt
item = 11, 18, file/items/teich13.txt
item = 12, 18, file/items/teich14.txt
item = 13, 18, file/items/teich15.txt
item = 14, 18, file/items/teich16.txt
item = 13, 15, file/items/seerose.txt
item = 12, 16, file/items/seerose.txt
item = 13, 17, file/items/seerose.txt
figure = 12, 16, file/figure/surfer.txt
figure = 12, 16, file/figure/schwan.txt
figure = 22, 9, file/figure/schafweiss.txt
figure = 22, 9, file/figure/schafweiss.txt
figure = 22, 9, file/figure/schafweiss.txt
figure = 22, 9, file/figure/schafweiss.txt
figure = 22, 9, file/figure/schmetterling2.txt
figure = 22, 9, file/figure/schmetterling2.txt
figure = 22, 9, file/figure/bock.txt
figure = 12,20, file/figure/eichhoernchen.txt
figure = 12,20, file/figure/eichhoernchen.txt
figure = 12,20, file/figure/eichhoernchen.txt
figure = 41,12, file/figure/eichhoernchen.txt
figure = 41,12, file/figure/eichhoernchen.txt
figure = 41,12, file/figure/eichhoernchen.txt


item = 21, 13, file/items/pilz.txt
item = 24, 16, file/items/pilz4.txt
item = 23, 15, file/items/baum3.txt
item = 26, 17, file/items/baumgelb2.txt
item = 27, 15, file/items/baumgelb3.txt
item = 27, 16, file/items/baum2.txt
item = 27, 17, file/items/baumgelb3.txt
item = 28, 15, file/items/baum3.txt
item = 28, 16, file/items/baumgelb2.txt
item = 28, 17, file/items/baum3.txt
item = 29, 15, file/items/baum1.txt
item = 29, 16, file/items/baum3.txt
item = 29, 17, file/items/baumgelb1.txt
item = 30, 16, file/items/baumgelb2.txt
item = 30, 15, file/items/baum1.txt
item = 30, 17, file/items/baum2.txt
item = 31, 16, file/items/baumgelb1.txt
item = 31, 15, file/items/baum3.txt
item = 32, 16, file/items/baumgelb2.txt
item = 32, 15, file/items/baum1.txt
item = 32, 17, file/items/baum2.txt
item = 33, 16, file/items/baumgelb1.txt
item = 33, 15, file/items/baum3.txt
item = 32, 14, file/items/baum1.txt
item = 32, 13, file/items/baum2.txt
item = 33, 13, file/items/baumgelb1.txt
item = 23, 14, file/items/baum1.txt
item = 25, 13, file/items/baum2.txt
item = 29, 13, file/items/baumgelb1.txt
item = 29, 29, file/items/baumgelb2.txt
item = 20, 27, file/items/baum1.txt
item = 34, 26, file/items/baum2.txt
item = 7, 28, file/items/baumgelb1.txt
item = 41, 22, file/items/baum3.txt
item = 8, 22, file/items/baum1.txt
item = 9, 22, file/items/baum2.txt
item = 46, 19, file/items/baumgelb1.txt
item = 44, 21, file/items/baum1.txt
item = 44, 24, file/items/baum2.txt
item = 43, 11, file/items/baumgelb1.txt
item = 3, 19, file/items/baumgelb1.txt
